iter	Passed	Remaining
0	28	31099
1	54	30079
2	76	28118
3	100	27565
4	128	28086
5	148	27057
6	175	27410
7	205	28020
8	229	27827
9	253	27672
10	275	27281
11	300	27281
12	319	26729
13	344	26695
14	368	26685
15	388	26340
16	406	25915
17	428	25769
18	452	25771
19	474	25605
20	497	25582
21	519	25476
22	545	25528
23	570	25572
24	589	25327
25	614	25403
26	637	25318
27	660	25291
28	679	25090
29	703	25105
30	726	25068
31	747	24938
32	767	24799
33	788	24709
34	813	24740
35	834	24663
36	862	24769
37	883	24688
38	906	24650
39	928	24608
40	951	24588
41	971	24471
42	995	24475
43	1018	24441
44	1044	24485
45	1067	24454
46	1086	24336
47	1111	24359
48	1136	24385
49	1158	24321
50	1180	24272
51	1199	24167
52	1221	24130
53	1239	24011
54	1259	23925
55	1281	23892
56	1308	23941
57	1333	23953
58	1362	24039
59	1390	24093
60	1413	24074
61	1439	24100
62	1462	24065
63	1484	24033
64	1511	24067
65	1535	24060
66	1558	24026
67	1584	24052
68	1607	24020
69	1634	24051
70	1659	24046
71	1683	24030
72	1705	23992
73	1729	23981
74	1753	23962
75	1774	23904
76	1800	23920
77	1822	23876
78	1846	23862
79	1869	23830
80	1897	23867
81	1920	23841
82	1944	23821
83	1965	23778
84	1987	23732
85	2011	23719
86	2037	23727
87	2063	23729
88	2085	23695
89	2110	23685
90	2129	23606
91	2152	23579
92	2176	23562
93	2203	23580
94	2225	23541
95	2250	23537
96	2272	23502
97	2299	23510
98	2320	23460
99	2342	23429
100	2366	23402
101	2388	23370
102	2411	23340
103	2434	23318
104	2457	23285
105	2481	23274
106	2510	23299
107	2532	23257
108	2558	23264
109	2582	23241
110	2605	23219
111	2629	23196
112	2652	23170
113	2677	23158
114	2698	23112
115	2722	23094
116	2744	23059
117	2766	23019
118	2792	23017
119	2816	23004
120	2841	22991
121	2862	22950
122	2890	22956
123	2914	22942
124	2937	22909
125	2958	22871
126	2984	22868
127	3009	22852
128	3028	22798
129	3048	22746
130	3072	22726
131	3097	22713
132	3119	22683
133	3145	22679
134	3169	22652
135	3191	22619
136	3213	22587
137	3232	22534
138	3252	22488
139	3276	22465
140	3301	22451
141	3327	22448
142	3348	22412
143	3374	22401
144	3398	22380
145	3421	22356
146	3447	22352
147	3471	22332
148	3500	22344
149	3527	22338
150	3552	22327
151	3578	22318
152	3605	22314
153	3628	22291
154	3656	22291
155	3679	22267
156	3704	22248
157	3731	22247
158	3758	22242
159	3779	22207
160	3803	22182
161	3825	22151
162	3847	22120
163	3874	22113
164	3897	22084
165	3920	22060
166	3943	22032
167	3970	22024
168	3995	22009
169	4019	21989
170	4045	21976
171	4068	21950
172	4092	21928
173	4113	21889
174	4137	21870
175	4161	21846
176	4185	21827
177	4208	21797
178	4231	21773
179	4254	21743
180	4275	21706
181	4299	21686
182	4322	21658
183	4346	21635
184	4373	21630
185	4395	21601
186	4421	21589
187	4444	21560
188	4463	21512
189	4481	21464
190	4509	21459
191	4532	21435
192	4560	21429
193	4585	21415
194	4612	21407
195	4637	21388
196	4666	21390
197	4689	21364
198	4714	21347
199	4737	21317
200	4762	21299
201	4783	21265
202	4804	21230
203	4828	21205
204	4853	21189
205	4874	21155
206	4901	21146
207	4924	21120
208	4950	21103
209	4977	21097
210	4996	21051
211	5018	21020
212	5039	20984
213	5062	20959
214	5086	20937
215	5111	20920
216	5135	20895
217	5161	20884
218	5183	20851
219	5205	20823
220	5229	20799
221	5253	20777
222	5284	20782
223	5311	20773
224	5337	20757
225	5363	20741
226	5396	20752
227	5428	20761
228	5454	20746
229	5486	20754
230	5517	20755
231	5548	20759
232	5580	20765
233	5608	20755
234	5637	20750
235	5667	20747
236	5695	20739
237	5721	20724
238	5752	20722
239	5778	20706
240	5801	20678
241	5824	20649
242	5846	20617
243	5873	20604
244	5899	20589
245	5925	20570
246	5953	20560
247	5977	20536
248	6000	20506
249	6025	20485
250	6047	20456
251	6070	20426
252	6097	20411
253	6124	20398
254	6152	20388
255	6181	20379
256	6207	20361
257	6233	20343
258	6259	20326
259	6288	20317
260	6315	20302
261	6341	20281
262	6366	20262
263	6394	20250
264	6423	20240
265	6449	20221
266	6479	20214
267	6503	20191
268	6524	20155
269	6549	20132
270	6571	20102
271	6597	20084
272	6623	20064
273	6650	20047
274	6679	20038
275	6705	20019
276	6729	19994
277	6754	19972
278	6781	19955
279	6806	19932
280	6833	19917
281	6859	19896
282	6883	19870
283	6908	19850
284	6931	19822
285	6949	19780
286	6972	19749
287	6992	19714
288	7019	19698
289	7040	19665
290	7064	19638
291	7088	19614
292	7113	19593
293	7139	19572
294	7163	19547
295	7187	19522
296	7213	19503
297	7235	19471
298	7257	19443
299	7280	19415
300	7304	19388
301	7330	19371
302	7355	19347
303	7378	19320
304	7402	19296
305	7426	19270
306	7450	19244
307	7473	19218
308	7500	19199
309	7524	19176
310	7546	19144
311	7568	19114
312	7593	19092
313	7616	19066
314	7640	19041
315	7670	19030
316	7698	19015
317	7726	19000
318	7749	18974
319	7775	18951
320	7798	18924
321	7824	18906
322	7849	18883
323	7870	18849
324	7898	18834
325	7919	18801
326	7944	18779
327	7971	18763
328	7990	18726
329	8017	18707
330	8042	18685
331	8069	18665
332	8094	18643
333	8117	18616
334	8141	18590
335	8169	18575
336	8187	18537
337	8208	18506
338	8229	18474
339	8253	18449
340	8278	18425
341	8304	18405
342	8329	18384
343	8355	18362
344	8377	18333
345	8402	18310
346	8428	18289
347	8454	18268
348	8478	18244
349	8503	18221
350	8525	18192
351	8551	18172
352	8573	18142
353	8597	18117
354	8625	18101
355	8654	18086
356	8676	18057
357	8703	18039
358	8726	18012
359	8748	17983
360	8768	17950
361	8790	17921
362	8815	17897
363	8842	17878
364	8868	17858
365	8893	17836
366	8909	17794
367	8937	17777
368	8962	17754
369	8982	17721
370	9005	17695
371	9027	17666
372	9051	17641
373	9069	17605
374	9097	17587
375	9123	17567
376	9148	17544
377	9173	17521
378	9198	17498
379	9221	17473
380	9246	17448
381	9269	17423
382	9296	17403
383	9320	17378
384	9344	17353
385	9369	17330
386	9396	17312
387	9422	17290
388	9446	17266
389	9471	17243
390	9494	17216
391	9518	17192
392	9543	17168
393	9568	17146
394	9591	17118
395	9614	17093
396	9635	17061
397	9660	17040
398	9685	17016
399	9721	17012
400	9751	16997
401	9774	16971
402	9802	16953
403	9826	16928
404	9852	16908
405	9878	16885
406	9907	16868
407	9932	16845
408	9958	16824
409	9983	16802
410	10009	16780
411	10035	16757
412	10059	16734
413	10082	16706
414	10106	16682
415	10131	16657
416	10154	16631
417	10173	16599
418	10197	16574
419	10225	16555
420	10249	16530
421	10273	16506
422	10302	16488
423	10326	16464
424	10348	16435
425	10373	16411
426	10397	16387
427	10425	16368
428	10454	16351
429	10477	16325
430	10501	16300
431	10527	16278
432	10551	16254
433	10579	16234
434	10609	16219
435	10632	16193
436	10659	16172
437	10684	16149
438	10715	16133
439	10743	16114
440	10770	16094
441	10797	16073
442	10825	16054
443	10852	16034
444	10880	16014
445	10906	15993
446	10932	15971
447	10958	15948
448	10982	15922
449	11003	15894
450	11030	15872
451	11051	15843
452	11078	15823
453	11105	15802
454	11131	15779
455	11156	15756
456	11177	15726
457	11205	15707
458	11229	15682
459	11251	15654
460	11274	15627
461	11298	15602
462	11316	15570
463	11342	15547
464	11366	15521
465	11390	15497
466	11417	15475
467	11443	15453
468	11469	15430
469	11496	15409
470	11520	15384
471	11547	15364
472	11570	15337
473	11595	15313
474	11622	15292
475	11651	15274
476	11677	15251
477	11704	15230
478	11727	15204
479	11750	15177
480	11772	15150
481	11798	15128
482	11822	15102
483	11846	15077
484	11874	15057
485	11897	15031
486	11924	15010
487	11945	14980
488	11971	14958
489	12001	14940
490	12022	14912
491	12049	14890
492	12071	14862
493	12095	14837
494	12122	14816
495	12146	14791
496	12172	14768
497	12198	14746
498	12227	14726
499	12252	14702
500	12277	14679
501	12307	14660
502	12330	14635
503	12359	14616
504	12386	14594
505	12408	14566
506	12434	14543
507	12454	14514
508	12480	14490
509	12504	14465
510	12533	14446
511	12555	14419
512	12576	14390
513	12605	14371
514	12633	14350
515	12653	14321
516	12674	14292
517	12697	14266
518	12726	14246
519	12747	14217
520	12774	14196
521	12800	14173
522	12828	14152
523	12854	14130
524	12879	14105
525	12903	14081
526	12928	14056
527	12952	14032
528	12978	14009
529	13000	13981
530	13031	13963
