iter	Passed	Remaining
0	20	24025
1	33	20070
2	47	18856
3	63	19068
4	80	19357
5	99	19770
6	112	19208
7	126	18803
8	137	18168
9	147	17575
10	158	17144
11	171	16945
12	184	16833
13	196	16672
14	209	16576
15	223	16555
16	233	16237
17	245	16153
18	258	16054
19	270	15968
20	281	15831
21	293	15707
22	305	15638
23	315	15470
24	325	15292
25	338	15276
26	348	15134
27	359	15049
28	370	14951
29	383	14967
30	393	14845
31	405	14789
32	418	14797
33	429	14713
34	439	14635
35	450	14562
36	466	14663
37	473	14479
38	486	14488
39	495	14370
40	507	14357
41	518	14299
42	530	14285
43	541	14216
44	554	14225
45	565	14188
46	578	14179
47	586	14064
48	599	14078
49	607	13982
50	620	13968
51	628	13872
52	640	13861
53	652	13853
54	662	13792
55	670	13699
56	678	13607
57	691	13613
58	701	13573
59	711	13523
60	721	13467
61	730	13404
62	743	13409
63	755	13408
64	764	13355
65	778	13374
66	786	13303
67	797	13276
68	811	13306
69	820	13240
70	829	13193
71	842	13195
72	855	13204
73	865	13163
74	877	13157
75	888	13145
76	897	13084
77	906	13043
78	918	13038
79	931	13042
80	943	13029
81	952	12992
82	964	12980
83	972	12925
84	982	12885
85	992	12857
86	1007	12892
87	1018	12865
88	1027	12821
89	1038	12813
90	1055	12857
91	1070	12891
92	1085	12922
93	1097	12907
94	1109	12906
95	1124	12936
96	1132	12872
97	1144	12875
98	1157	12870
99	1170	12870
100	1179	12836
101	1189	12803
102	1201	12800
103	1215	12806
104	1227	12797
105	1237	12772
106	1249	12768
107	1259	12736
108	1271	12723
109	1280	12688
110	1292	12681
111	1303	12662
112	1316	12659
113	1326	12632
114	1338	12632
115	1348	12601
116	1356	12558
117	1368	12549
118	1381	12547
119	1394	12554
120	1408	12560
121	1423	12577
122	1436	12575
123	1447	12556
124	1459	12554
125	1471	12539
126	1477	12486
127	1487	12459
128	1496	12421
129	1508	12417
130	1519	12403
131	1529	12372
132	1538	12345
133	1552	12353
