iter	RMSE
0	5876.353105
1	5242.356602
2	4700.715369
3	4240.577384
4	3852.411956
5	3526.367106
6	3235.550632
7	2989.077017
8	2786.630764
9	2621.838087
10	2483.686115
11	2365.701209
12	2265.220451
13	2179.523231
14	2113.809637
15	2060.850274
16	2014.254688
17	1977.451933
18	1942.638417
19	1917.923916
20	1896.525625
21	1877.608158
22	1863.723316
23	1850.303751
24	1836.438581
25	1827.396714
26	1818.256349
27	1811.044624
28	1801.351387
29	1795.264661
30	1787.767072
31	1781.162527
32	1774.647796
33	1770.939773
34	1766.414514
35	1762.458804
36	1759.305227
37	1756.192347
38	1753.814246
39	1750.454009
40	1748.363702
41	1745.415192
42	1742.62017
43	1739.238912
44	1736.724626
45	1734.376142
46	1732.160507
47	1728.760578
48	1726.08499
49	1721.560187
50	1716.735594
51	1713.167341
52	1709.493616
53	1706.557176
54	1704.653637
55	1701.867016
56	1700.986865
57	1699.298603
58	1696.412135
59	1694.034595
60	1692.194271
61	1690.651905
62	1688.200543
63	1686.184324
64	1685.105038
65	1684.206736
66	1682.651172
67	1681.200046
68	1679.621167
69	1677.901951
70	1676.830661
71	1674.778281
72	1672.754917
73	1671.251018
74	1670.116716
75	1668.464709
76	1666.50078
77	1665.812378
78	1664.653536
79	1662.778199
80	1659.684548
81	1657.787434
82	1656.309628
83	1655.707511
84	1654.318936
85	1652.391657
86	1650.816372
87	1649.789685
88	1649.262367
89	1648.077184
90	1646.847445
91	1644.709408
92	1642.396623
93	1640.349281
94	1639.147522
95	1637.510627
96	1635.342892
97	1633.815004
98	1632.416425
99	1630.856285
100	1629.807482
101	1628.793588
102	1626.876372
103	1625.740575
104	1624.507078
105	1623.39031
106	1620.99864
107	1619.430946
108	1618.379179
109	1616.07135
110	1615.419967
111	1614.28916
112	1613.065258
113	1611.780886
114	1610.415123
115	1608.122373
116	1606.431875
117	1605.070507
118	1603.956993
119	1603.285881
120	1601.856166
121	1600.318747
122	1599.666402
123	1598.819769
124	1597.560493
125	1596.672018
126	1596.017194
127	1594.4615
128	1593.039292
129	1592.397506
130	1591.406257
131	1590.464381
132	1588.570315
133	1587.065587
134	1585.79211
135	1585.080519
136	1583.856671
137	1582.720408
138	1582.122491
139	1581.436676
140	1581.073423
141	1579.604833
142	1578.45061
143	1576.883325
144	1575.685384
145	1574.783378
146	1573.328324
147	1572.635946
148	1571.13113
149	1570.52919
150	1569.355661
151	1568.634849
152	1567.602412
153	1566.93933
154	1566.457779
155	1565.237058
156	1564.017514
157	1563.332293
158	1562.6144
159	1561.82124
160	1561.206177
161	1560.270259
162	1559.29645
163	1558.870906
164	1557.896876
165	1557.579615
166	1556.712635
167	1555.943785
168	1555.514124
169	1555.097501
170	1554.298639
171	1553.660101
172	1552.993104
173	1551.858417
174	1551.018728
175	1549.507608
176	1548.975454
177	1548.490154
178	1547.001759
179	1546.485339
180	1545.849226
181	1545.108054
182	1544.61993
183	1543.799773
184	1542.984388
185	1541.955276
186	1541.484374
187	1540.757616
188	1540.04756
189	1539.08848
190	1538.384293
191	1538.008974
192	1537.198371
193	1536.724952
194	1536.087525
195	1535.74897
196	1535.083686
197	1534.628169
198	1534.215725
199	1533.951125
200	1533.454384
201	1532.594753
202	1532.12028
203	1531.771172
204	1531.348703
205	1531.018814
206	1530.194413
207	1529.391073
208	1528.478923
209	1527.528701
210	1526.52552
211	1526.08056
212	1524.951295
213	1524.388397
214	1524.147171
215	1523.60509
216	1522.794185
217	1521.946991
218	1521.405146
219	1520.676785
220	1520.293597
221	1519.620728
222	1518.336772
223	1517.352141
224	1517.032024
225	1516.575219
226	1515.915911
227	1515.319024
228	1514.544421
229	1513.910578
