iter	Passed	Remaining
0	25	28132
1	50	27548
2	75	27647
3	103	28244
4	126	27677
5	155	28375
6	184	28730
7	210	28669
8	232	28241
9	252	27532
10	278	27546
11	303	27503
12	323	27083
13	347	26931
14	362	26206
15	380	25789
16	403	25686
17	423	25447
18	444	25309
19	468	25310
20	490	25204
21	514	25190
22	535	25058
23	555	24918
24	581	25014
25	607	25078
26	632	25141
27	653	25003
28	672	24827
29	694	24758
30	717	24741
31	736	24568
32	758	24536
33	782	24532
34	810	24659
35	831	24581
36	853	24525
37	873	24409
38	897	24424
39	929	24622
40	955	24685
41	980	24687
42	1003	24660
43	1025	24614
44	1050	24632
45	1075	24633
46	1097	24589
47	1118	24523
48	1140	24458
49	1161	24395
50	1184	24363
51	1210	24389
52	1235	24415
53	1259	24400
54	1285	24429
55	1309	24413
56	1333	24401
57	1356	24362
58	1379	24339
59	1400	24273
60	1419	24172
61	1439	24106
62	1462	24069
63	1484	24035
64	1508	24024
65	1530	23973
66	1556	24001
67	1578	23957
68	1604	23974
69	1631	24013
70	1654	23974
71	1677	23954
72	1700	23924
73	1720	23856
74	1745	23854
75	1770	23860
76	1796	23872
77	1821	23864
78	1847	23881
79	1869	23837
80	1891	23801
81	1913	23760
82	1935	23717
83	1965	23767
84	1985	23712
85	2008	23683
86	2030	23642
87	2054	23626
88	2079	23622
89	2104	23621
90	2127	23590
91	2154	23602
92	2176	23571
93	2202	23575
94	2227	23566
95	2252	23560
96	2273	23507
97	2299	23511
98	2321	23471
99	2344	23444
100	2369	23438
101	2396	23447
102	2419	23418
103	2439	23365
104	2466	23375
105	2489	23344
106	2514	23338
107	2538	23314
108	2562	23297
109	2585	23267
110	2614	23291
111	2636	23257
112	2660	23239
113	2685	23230
114	2707	23192
115	2731	23170
116	2754	23140
117	2778	23121
118	2801	23098
119	2826	23081
120	2854	23096
121	2876	23055
122	2898	23025
123	2919	22977
124	2942	22950
125	2968	22948
126	2991	22917
127	3017	22911
128	3043	22911
129	3065	22871
130	3086	22833
131	3107	22790
132	3129	22751
133	3155	22746
134	3179	22724
135	3203	22708
136	3227	22689
137	3255	22696
138	3279	22675
139	3303	22650
140	3324	22612
141	3351	22609
142	3381	22630
143	3404	22601
144	3427	22572
145	3449	22541
146	3473	22516
147	3498	22503
148	3520	22466
149	3539	22419
150	3567	22420
151	3593	22410
152	3620	22408
153	3648	22410
154	3671	22383
155	3698	22379
156	3722	22360
157	3741	22305
158	3760	22254
159	3783	22229
160	3811	22230
161	3840	22236
162	3861	22199
163	3884	22169
164	3912	22168
165	3935	22142
166	3962	22139
167	3988	22124
168	4011	22100
169	4032	22060
170	4055	22030
171	4081	22019
172	4101	21979
173	4126	21961
174	4156	21970
175	4181	21954
