iter	RMSE
0	5873.545518
1	5248.189562
2	4708.856688
3	4247.870515
4	3856.483374
5	3509.812223
6	3225.549358
7	2985.33939
8	2779.147381
9	2610.112885
10	2473.677195
11	2360.077759
12	2265.16442
13	2180.84184
14	2112.713398
15	2055.723268
16	2008.658578
17	1970.002961
18	1940.021294
19	1916.340653
20	1891.848484
21	1872.885945
22	1857.389675
23	1843.290034
24	1832.80651
25	1823.431592
26	1815.577106
27	1806.978879
28	1800.79615
29	1793.30974
30	1787.476828
31	1782.449346
32	1778.313853
33	1771.791753
34	1768.683577
35	1763.073838
36	1758.124585
37	1754.821918
38	1751.995492
39	1747.90708
40	1744.78422
41	1739.771498
42	1735.842514
43	1733.906586
44	1732.293297
45	1726.960659
46	1723.045559
47	1720.053013
48	1716.899186
49	1714.138829
50	1711.930972
51	1708.175163
52	1703.73782
53	1701.452979
54	1698.772096
55	1697.017543
56	1695.428163
57	1692.816825
58	1691.234437
59	1689.33447
60	1687.301183
61	1685.01401
62	1681.838672
63	1679.801936
64	1678.401203
65	1676.985766
66	1675.107331
67	1673.887223
68	1671.050521
69	1669.328917
70	1668.281458
71	1664.722846
72	1663.201503
73	1661.209265
74	1658.48209
75	1656.536506
76	1655.549648
77	1654.671465
78	1651.694938
79	1649.960066
80	1649.011057
81	1647.475158
82	1645.721698
83	1644.608878
84	1643.010142
85	1641.395764
86	1640.40463
87	1638.832071
88	1636.837355
89	1635.4137
90	1634.141245
91	1633.014178
92	1631.6209
93	1630.020474
94	1628.528937
95	1627.079359
96	1625.777324
97	1624.54428
98	1623.672171
99	1621.81581
100	1620.539511
101	1619.323872
102	1617.309531
103	1616.195378
104	1615.48586
105	1613.53455
106	1612.544822
107	1610.735052
108	1609.792121
109	1608.771967
110	1608.020022
111	1606.619954
112	1604.519681
113	1603.338953
114	1602.416304
115	1600.88349
116	1599.454169
117	1597.795362
118	1596.436851
119	1595.847012
120	1595.150914
121	1594.41773
122	1593.38265
123	1592.115333
124	1591.542476
125	1591.111167
126	1590.056097
127	1589.45091
128	1587.492117
129	1586.403826
130	1585.551617
131	1584.272192
132	1583.148217
133	1582.412166
134	1580.994669
135	1580.225489
136	1579.580063
137	1578.847661
138	1577.634084
139	1576.448667
140	1575.635795
141	1574.862349
142	1573.85242
143	1573.088431
144	1571.972142
145	1571.150084
146	1570.299215
147	1569.418791
148	1568.724139
149	1568.118142
150	1567.451977
151	1566.786471
152	1565.476801
153	1564.765719
154	1564.002222
155	1563.249271
156	1562.253306
157	1561.530224
158	1560.809534
159	1559.807508
160	1558.904698
161	1558.039703
162	1557.336377
163	1556.640327
164	1556.152659
165	1555.645622
166	1554.870398
167	1554.33869
168	1553.642438
169	1553.209322
170	1551.480774
171	1550.867154
172	1549.97091
173	1549.036989
174	1548.57736
175	1548.218625
176	1547.587781
177	1546.976956
178	1545.699487
179	1544.891781
180	1543.972141
181	1543.558891
182	1542.686582
183	1541.866106
184	1540.80237
185	1540.212396
186	1539.811315
187	1539.174683
188	1538.381632
189	1537.424074
190	1536.863261
191	1536.155087
192	1535.141608
193	1534.866328
194	1534.124917
195	1533.024507
196	1532.34205
197	1531.209337
198	1530.472617
199	1529.935542
200	1529.424473
201	1528.773387
202	1528.290755
203	1527.642825
204	1527.378895
205	1526.531376
206	1526.096915
207	1525.034627
208	1523.721329
209	1523.165459
210	1522.768398
211	1522.247717
212	1521.77249
213	1520.906893
214	1519.967341
215	1519.349144
216	1518.656647
217	1518.248399
218	1517.685375
219	1517.50815
220	1517.041355
221	1516.521015
222	1515.900675
223	1515.295981
224	1514.878885
225	1514.682334
226	1513.933264
227	1512.943529
228	1512.266325
229	1512.069609
230	1511.600557
231	1511.467439
232	1510.493269
233	1510.08166
234	1509.819913
235	1509.207261
236	1508.659385
237	1508.208384
238	1507.622385
239	1506.787769
240	1506.456915
241	1506.006126
242	1505.508037
243	1505.079027
244	1504.584199
245	1504.200338
246	1503.169356
247	1502.602016
248	1502.317658
249	1501.817065
250	1500.617785
