Модель,RMSE (CV),RMSE (Test),MAE (Test),R2 (Test),Время (сек)
LinearRegression,2892.611,2858.861,2004.157,0.613,1.88
CatBoost,1623.691,1606.375,1002.014,0.878,341.83
XGBoost,1610.787,1591.178,984.421,0.88,34.38
LightGBM,1619.913,1601.488,1008.224,0.879,7125.82
