iter	RMSE
0	6288.341409
1	5989.190765
2	5703.591811
3	5440.738916
4	5196.959874
5	4969.5542
6	4753.159164
7	4551.066931
8	4363.417158
9	4190.883832
10	4028.381773
11	3878.606816
12	3737.712917
13	3603.774814
14	3481.58612
15	3369.501295
16	3265.040526
17	3168.540364
18	3079.619938
19	2995.795684
20	2915.885259
21	2842.352395
22	2774.54669
23	2711.00681
24	2651.959632
25	2597.595809
26	2548.732832
27	2503.73654
28	2462.002301
29	2424.002175
30	2383.853126
31	2352.507079
32	2320.913429
33	2293.552503
34	2266.500947
35	2243.467003
36	2219.274108
37	2198.051414
38	2178.53414
39	2160.175931
40	2142.333475
41	2127.380963
42	2113.383998
43	2099.152927
44	2086.379579
45	2074.838478
46	2064.444183
47	2054.604525
48	2045.222858
49	2035.457098
50	2026.975255
51	2018.491935
52	2010.927445
53	2003.162039
54	1996.265447
55	1990.356158
56	1984.143119
57	1978.84762
58	1973.43503
59	1968.763478
60	1964.116463
61	1959.040479
62	1955.195113
63	1951.205676
64	1946.924113
65	1943.370952
66	1939.123435
67	1935.950239
68	1931.422295
69	1927.199866
70	1923.884216
71	1920.243643
72	1917.030423
73	1913.132447
74	1910.695926
75	1908.015201
76	1905.236985
77	1902.091172
78	1899.364853
79	1896.76581
80	1894.581429
81	1891.840662
82	1889.421161
83	1886.940996
84	1884.139082
85	1881.802777
86	1880.175131
87	1878.421338
88	1877.046137
89	1874.814504
90	1872.956896
91	1871.023837
92	1869.70104
93	1868.051981
94	1866.481138
95	1864.995981
96	1863.088356
97	1861.466618
98	1860.175874
99	1858.272434
100	1856.755695
101	1855.643224
102	1854.319075
103	1853.302236
104	1852.109735
105	1850.614787
106	1848.922323
107	1847.408139
108	1845.913064
109	1844.417914
110	1843.621419
111	1842.124134
112	1840.803214
113	1839.561809
114	1838.192379
115	1837.092577
116	1836.341177
117	1835.697134
118	1834.708794
119	1833.875712
120	1832.815433
121	1832.013978
122	1830.891682
123	1830.264828
124	1829.38047
125	1828.180483
126	1827.013934
127	1825.874644
128	1825.298021
129	1824.541014
130	1823.633429
131	1822.551325
132	1821.897176
133	1821.252248
134	1820.801212
135	1819.542415
136	1819.036436
137	1817.80264
138	1816.708018
139	1815.809121
140	1815.282712
141	1814.828115
142	1814.084646
143	1813.04744
144	1812.205142
145	1811.481173
146	1810.63859
147	1810.119766
148	1809.315725
149	1809.007949
150	1807.948267
151	1807.674816
152	1806.995831
153	1806.120281
154	1805.40675
155	1804.379164
156	1803.926597
157	1803.508199
158	1802.491812
159	1802.015111
160	1801.673741
161	1801.036227
162	1800.616748
163	1799.79031
164	1798.95022
165	1798.396679
166	1797.980938
167	1797.117869
168	1796.680778
169	1796.238511
170	1795.085058
171	1794.137009
172	1793.480483
173	1793.248805
174	1792.88914
175	1792.339701
176	1791.966617
177	1791.426986
178	1790.721119
179	1790.095622
180	1789.373209
181	1789.060832
182	1788.089128
183	1787.273212
184	1786.709816
185	1786.144907
186	1785.579118
187	1785.058903
188	1784.595175
189	1784.005583
190	1783.342712
191	1782.776393
192	1782.074796
193	1781.460569
194	1781.136713
195	1780.656427
196	1780.290672
197	1779.594855
198	1779.309908
199	1778.973391
200	1778.215767
201	1777.63619
202	1777.091682
203	1776.543823
204	1775.822403
205	1775.139587
206	1774.79843
207	1774.226603
208	1773.564611
209	1772.949085
210	1772.549639
211	1771.898861
