iter	Passed	Remaining
0	51	56192
1	76	42242
2	100	36855
3	125	34477
4	150	32967
5	182	33314
6	210	32805
7	239	32675
8	261	31672
9	282	30811
10	304	30131
11	327	29651
12	349	29260
13	370	28744
14	391	28294
15	412	27914
16	435	27726
17	454	27346
18	481	27384
19	504	27216
20	522	26841
21	543	26631
22	563	26395
23	584	26196
24	610	26268
25	637	26341
26	662	26314
27	685	26259
28	719	26585
29	752	26827
30	785	27080
31	809	27019
32	837	27082
33	867	27198
34	893	27196
35	919	27177
36	945	27167
37	972	27190
38	998	27176
39	1029	27269
40	1056	27298
41	1081	27246
42	1103	27126
43	1127	27057
44	1152	27027
45	1174	26907
46	1200	26906
47	1228	26920
48	1252	26871
49	1270	26685
50	1292	26588
51	1316	26522
52	1334	26352
53	1355	26255
54	1379	26215
55	1401	26136
56	1422	26032
57	1448	26016
58	1472	25978
59	1492	25863
60	1513	25773
61	1534	25686
62	1556	25617
63	1577	25541
64	1603	25531
65	1632	25570
66	1653	25500
67	1677	25461
68	1699	25395
69	1723	25356
70	1748	25334
71	1765	25212
72	1790	25190
73	1812	25124
74	1841	25167
75	1865	25130
76	1886	25067
77	1912	25059
78	1936	25025
79	1958	24972
80	1980	24911
81	2001	24852
82	2025	24820
83	2049	24794
84	2072	24744
85	2093	24682
86	2117	24651
87	2142	24643
88	2165	24601
89	2191	24596
90	2214	24553
91	2234	24478
92	2258	24455
93	2279	24395
94	2304	24375
95	2324	24310
96	2345	24257
97	2372	24258
98	2403	24303
99	2426	24263
100	2449	24228
101	2466	24128
102	2491	24114
103	2513	24076
104	2536	24037
105	2560	24009
106	2583	23977
107	2605	23933
108	2629	23910
109	2654	23887
110	2679	23874
111	2704	23860
112	2733	23875
113	2760	23878
114	2785	23860
115	2811	23849
116	2838	23851
117	2865	23850
118	2893	23856
119	2919	23844
120	2943	23812
121	2970	23813
122	2989	23749
123	3016	23740
124	3042	23731
125	3067	23715
126	3095	23715
127	3120	23696
128	3141	23647
129	3166	23624
130	3187	23574
131	3212	23559
132	3236	23534
133	3257	23481
134	3284	23478
135	3309	23457
136	3334	23439
137	3358	23409
138	3383	23391
139	3407	23362
140	3432	23348
141	3455	23312
142	3479	23282
143	3500	23241
144	3523	23208
145	3545	23166
146	3570	23147
147	3592	23109
148	3612	23057
149	3635	23026
150	3661	23008
151	3687	22997
152	3711	22974
153	3734	22939
154	3759	22918
155	3781	22881
156	3803	22843
157	3828	22828
158	3850	22790
159	3874	22762
160	3899	22745
161	3925	22726
162	3949	22702
163	3974	22682
164	3998	22659
165	4023	22636
166	4048	22617
167	4070	22579
168	4094	22554
169	4120	22541
170	4142	22505
171	4165	22474
172	4195	22479
173	4214	22429
174	4234	22383
175	4259	22361
176	4282	22333
177	4310	22325
178	4333	22296
179	4358	22276
180	4382	22249
181	4404	22216
182	4427	22184
183	4461	22208
184	4482	22168
185	4506	22146
186	4528	22107
187	4552	22085
188	4576	22057
189	4600	22031
190	4626	22018
191	4651	21995
192	4675	21970
193	4697	21936
194	4727	21941
195	4748	21903
196	4774	21883
197	4795	21844
198	4818	21815
199	4840	21783
200	4859	21732
201	4884	21712
202	4909	21691
203	4933	21668
204	4956	21638
205	4985	21636
206	5009	21609
207	5036	21598
208	5062	21580
209	5086	21556
210	5108	21524
211	5135	21511
212	5158	21483
213	5181	21454
214	5206	21433
215	5231	21409
216	5258	21397
217	5282	21372
218	5306	21348
219	5334	21339
220	5359	21315
221	5387	21309
222	5410	21278
223	5434	21251
224	5459	21232
225	5481	21198
226	5508	21182
227	5529	21146
228	5554	21125
229	5578	21101
230	5597	21058
231	5623	21038
232	5647	21013
233	5671	20987
234	5691	20949
235	5717	20931
236	5745	20922
237	5772	20908
238	5799	20892
239	5819	20854
240	5847	20843
241	5871	20816
242	5897	20799
243	5921	20773
244	5950	20766
245	5977	20751
246	6007	20745
247	6039	20746
248	6067	20737
249	6095	20724
250	6118	20695
251	6143	20674
252	6164	20637
253	6188	20612
254	6214	20592
255	6241	20576
256	6265	20551
257	6285	20514
258	6314	20502
259	6337	20475
260	6363	20455
261	6390	20440
262	6414	20415
263	6439	20391
264	6460	20355
265	6483	20329
266	6505	20297
267	6529	20271
268	6553	20246
269	6583	20237
270	6610	20221
271	6633	20194
272	6658	20169
273	6681	20141
274	6704	20114
275	6730	20093
276	6756	20074
277	6782	20054
278	6805	20026
279	6828	19996
280	6852	19973
281	6878	19951
282	6900	19920
283	6922	19890
284	6945	19861
285	6975	19852
286	6999	19828
287	7031	19825
288	7059	19810
289	7083	19783
290	7109	19765
291	7136	19747
292	7159	19718
293	7181	19688
294	7208	19671
295	7233	19648
296	7259	19628
297	7289	19617
298	7318	19606
299	7345	19588
300	7369	19562
301	7396	19544
302	7425	19532
303	7455	19522
304	7483	19505
305	7512	19492
306	7535	19465
307	7560	19441
308	7590	19430
309	7617	19413
310	7640	19384
311	7662	19353
312	7689	19333
313	7710	19300
314	7737	19281
315	7755	19241
316	7779	19215
317	7810	19206
318	7837	19189
319	7859	19158
320	7877	19116
321	7903	19095
322	7932	19081
323	7956	19055
324	7976	19021
325	8004	19005
326	8028	18977
327	8052	18953
328	8079	18934
329	8108	18919
330	8135	18899
331	8162	18880
332	8186	18856
333	8210	18830
334	8237	18811
335	8260	18781
336	8285	18759
337	8311	18736
338	8336	18712
339	8362	18693
340	8387	18669
341	8413	18647
342	8437	18621
343	8464	18601
344	8490	18581
345	8517	18560
346	8545	18543
347	8573	18526
348	8600	18507
349	8629	18491
350	8653	18465
351	8676	18436
352	8697	18406
353	8722	18381
354	8739	18340
355	8764	18316
356	8791	18297
357	8814	18268
358	8837	18241
359	8861	18215
360	8882	18182
361	8908	18161
362	8932	18134
363	8953	18103
364	8978	18079
365	9002	18054
366	9027	18031
367	9051	18004
368	9074	17977
369	9092	17939
370	9116	17912
371	9142	17891
372	9165	17864
373	9191	17842
374	9210	17806
375	9229	17771
376	9249	17739
377	9271	17709
378	9297	17687
379	9320	17659
380	9346	17637
381	9371	17614
382	9395	17588
383	9420	17565
384	9445	17541
385	9467	17513
386	9494	17492
387	9519	17467
388	9540	17437
389	9566	17416
390	9589	17389
391	9614	17365
392	9642	17346
393	9670	17328
394	9693	17300
395	9718	17277
396	9747	17261
397	9769	17232
398	9797	17212
399	9816	17179
400	9841	17155
401	9866	17131
402	9889	17103
403	9908	17070
404	9933	17045
405	9954	17016
406	9977	16987
407	10000	16962
408	10024	16936
409	10045	16906
410	10066	16876
411	10095	16859
412	10117	16830
413	10141	16803
414	10163	16775
415	10193	16759
416	10217	16734
417	10241	16710
418	10263	16681
419	10289	16658
420	10310	16629
421	10335	16605
422	10355	16573
423	10376	16543
424	10402	16521
425	10424	16493
426	10454	16478
427	10477	16450
428	10498	16420
429	10524	16398
430	10548	16372
431	10574	16351
432	10601	16331
433	10622	16301
434	10648	16278
435	10671	16251
436	10698	16231
437	10724	16209
438	10747	16182
439	10771	16157
440	10795	16132
441	10825	16116
442	10852	16094
443	10874	16066
444	10903	16048
445	10932	16030
446	10953	16001
447	10980	15980
448	11009	15961
449	11031	15934
450	11056	15910
451	11079	15884
452	11106	15863
453	11128	15835
454	11160	15820
455	11191	15804
456	11218	15785
457	11244	15761
458	11268	15737
459	11289	15707
460	11313	15681
461	11339	15659
462	11357	15625
463	11376	15593
464	11398	15565
465	11424	15542
466	11453	15524
467	11479	15502
468	11507	15482
469	11530	15456
470	11557	15434
471	11586	15415
472	11612	15392
473	11638	15370
474	11665	15348
475	11691	15326
476	11716	15302
477	11743	15281
478	11768	15257
479	11792	15231
480	11815	15204
481	11840	15181
482	11864	15155
483	11891	15134
484	11919	15114
485	11949	15096
486	11979	15079
487	12005	15055
488	12031	15033
489	12057	15010
490	12087	14992
491	12113	14970
492	12133	14939
493	12154	14910
494	12178	14884
495	12205	14862
496	12233	14842
497	12258	14818
498	12288	14799
499	12313	14775
500	12339	14753
501	12362	14727
502	12387	14702
503	12413	14679
504	12444	14662
505	12472	14641
506	12493	14612
507	12521	14591
508	12547	14569
509	12580	14553
510	12607	14531
511	12634	14510
512	12659	14486
513	12689	14467
514	12713	14441
515	12742	14421
516	12768	14398
517	12791	14371
518	12821	14352
519	12845	14327
520	12871	14304
521	12900	14284
522	12926	14260
523	12951	14236
524	12973	14208
525	12999	14185
526	13020	14156
527	13045	14132
528	13070	14107
529	13095	14084
530	13120	14059
531	13144	14033
532	13172	14012
533	13199	13990
534	13223	13964
535	13248	13941
536	13273	13916
537	13296	13890
538	13323	13867
539	13351	13845
540	13375	13820
541	13398	13794
542	13419	13765
543	13445	13741
544	13473	13720
545	13499	13696
546	13519	13667
547	13545	13644
548	13572	13621
549	13597	13597
550	13625	13575
551	13647	13548
552	13671	13522
553	13693	13496
554	13719	13471
555	13743	13447
556	13769	13422
557	13796	13400
558	13818	13373
559	13845	13350
560	13868	13324
561	13889	13296
562	13915	13272
563	13943	13251
564	13967	13225
565	13987	13197
566	14006	13166
567	14030	13140
568	14053	13114
569	14079	13091
570	14107	13069
571	14125	13038
572	14150	13014
573	14176	12991
574	14200	12965
575	14227	12942
576	14253	12919
577	14280	12896
578	14307	12874
579	14333	12850
580	14358	12826
581	14383	12801
582	14412	12781
583	14439	12758
584	14467	12736
585	14492	12712
586	14517	12687
587	14543	12663
588	14567	12638
589	14589	12611
590	14607	12580
591	14630	12554
592	14656	12530
593	14680	12505
594	14707	12482
595	14734	12459
596	14758	12435
597	14780	12407
598	14804	12382
599	14831	12359
600	14859	12337
601	14887	12315
602	14913	12291
603	14937	12266
604	14959	12239
605	14987	12217
606	15014	12194
607	15038	12169
608	15064	12145
609	15092	12123
610	15115	12097
611	15140	12072
612	15167	12049
613	15192	12025
614	15215	11999
615	15239	11974
616	15263	11948
617	15291	11926
618	15318	11903
619	15345	11880
620	15371	11856
621	15394	11830
622	15422	11808
623	15448	11784
624	15474	11760
625	15501	11737
626	15525	11712
627	15556	11692
628	15581	11667
629	15609	11644
630	15636	11621
631	15661	11597
632	15687	11573
633	15711	11547
634	15736	11523
635	15764	11501
636	15784	11473
637	15806	11446
638	15831	11421
639	15852	11394
640	15876	11368
641	15904	11346
642	15927	11320
643	15946	11290
644	15972	11267
645	15995	11241
646	16024	11219
647	16052	11196
648	16078	11173
649	16102	11147
650	16134	11127
651	16163	11106
652	16191	11083
653	16221	11062
654	16244	11036
655	16271	11013
656	16297	10988
657	16321	10963
658	16349	10940
659	16373	10915
660	16395	10889
661	16416	10861
662	16443	10838
663	16476	10818
664	16507	10798
665	16533	10774
666	16564	10753
667	16590	10729
668	16612	10702
669	16634	10675
670	16659	10651
671	16684	10626
672	16705	10599
673	16731	10574
674	16756	10550
675	16784	10527
676	16812	10504
677	16836	10479
678	16861	10454
679	16884	10428
680	16913	10406
681	16939	10382
682	16965	10358
683	16988	10332
684	17015	10308
685	17042	10284
686	17068	10261
687	17090	10234
688	17115	10209
689	17139	10184
690	17163	10158
691	17190	10135
692	17215	10110
693	17244	10088
694	17268	10062
695	17293	10038
696	17319	10014
697	17344	9989
698	17367	9963
699	17392	9938
700	17417	9913
701	17444	9890
702	17468	9864
703	17493	9839
704	17515	9813
705	17536	9786
706	17560	9761
707	17584	9736
708	17611	9712
709	17633	9686
710	17658	9661
711	17683	9636
712	17709	9612
713	17733	9586
714	17754	9560
715	17782	9537
716	17807	9512
717	17832	9487
718	17857	9462
719	17880	9436
720	17901	9410
721	17927	9385
722	17951	9360
723	17978	9336
724	17998	9309
725	18021	9283
726	18046	9258
727	18073	9235
728	18097	9210
729	18121	9184
730	18145	9159
731	18170	9135
732	18196	9110
733	18219	9085
734	18243	9059
735	18269	9035
736	18293	9010
737	18316	8984
738	18341	8959
739	18367	8935
740	18394	8912
741	18423	8888
742	18448	8864
743	18472	8839
744	18494	8812
745	18521	8789
746	18548	8765
747	18570	8739
748	18597	8715
749	18624	8691
750	18647	8665
751	18675	8642
752	18698	8616
753	18727	8593
754	18753	8569
755	18777	8544
756	18805	8520
757	18830	8495
758	18860	8473
759	18883	8447
760	18904	8421
761	18931	8397
762	18956	8372
763	18977	8346
764	19005	8322
765	19031	8298
766	19055	8272
767	19076	8246
768	19099	8220
769	19120	8194
770	19144	8169
771	19168	8143
772	19192	8119
773	19221	8095
774	19251	8073
775	19270	8045
776	19295	8021
777	19319	7995
778	19345	7971
779	19363	7944
780	19389	7919
781	19420	7897
782	19444	7872
783	19468	7846
784	19492	7821
785	19519	7797
786	19541	7771
787	19565	7746
788	19590	7721
789	19621	7699
790	19649	7675
791	19672	7650
792	19701	7627
793	19726	7602
794	19753	7578
795	19784	7555
796	19812	7532
797	19840	7508
798	19866	7484
799	19890	7458
800	19911	7432
801	19933	7406
802	19960	7382
803	19981	7356
804	20008	7332
805	20031	7306
806	20053	7280
807	20079	7256
808	20103	7231
809	20129	7206
810	20153	7181
811	20168	7153
812	20195	7129
813	20223	7105
814	20250	7081
815	20269	7054
816	20293	7029
817	20316	7004
818	20339	6978
819	20367	6954
820	20394	6930
821	20418	6905
822	20444	6880
823	20467	6855
