iter	RMSE
0	5879.013928
1	5243.873861
2	4705.009451
3	4248.326008
4	3855.088817
5	3520.473705
6	3242.794064
7	3000.063379
8	2795.916542
9	2623.698063
10	2484.512635
11	2369.459939
12	2267.854398
13	2185.867672
14	2115.335207
15	2056.926508
16	2011.465036
17	1973.131718
18	1941.687311
19	1917.644567
20	1895.933379
21	1875.993605
22	1860.548599
23	1848.302305
24	1837.50322
25	1827.944416
26	1817.189626
27	1810.430615
28	1803.15143
29	1796.622669
30	1787.839924
31	1782.69648
32	1777.972037
33	1774.42944
34	1768.78177
35	1764.47486
36	1761.264748
37	1756.802776
38	1753.485155
39	1750.541071
40	1745.457244
41	1739.684886
42	1733.941447
43	1731.657279
44	1728.074057
45	1723.464843
46	1721.51164
47	1715.754307
48	1712.926489
49	1710.688777
50	1708.416566
51	1706.537345
52	1705.072974
53	1701.396886
54	1700.12707
55	1698.99699
56	1696.682136
57	1693.250606
58	1691.559084
59	1689.105081
60	1688.079912
61	1686.063979
62	1684.462237
63	1682.732191
64	1680.321298
65	1678.691117
66	1675.682764
67	1672.345772
68	1669.322892
69	1667.547263
70	1665.21128
71	1663.992928
72	1662.503643
73	1659.978533
74	1658.180818
75	1656.32444
76	1655.255853
77	1653.900012
78	1652.290223
79	1650.978874
80	1649.785161
81	1647.913531
82	1645.016524
83	1643.563228
84	1642.918199
85	1641.746164
86	1640.727126
87	1639.901446
88	1637.879272
89	1637.087634
90	1636.229734
91	1634.799838
92	1632.870955
93	1630.746028
94	1630.178208
95	1628.784424
96	1627.244398
97	1624.634244
98	1622.746752
99	1621.553502
100	1619.819069
101	1618.786644
102	1617.551962
103	1616.232875
104	1615.177336
105	1613.441256
106	1612.11768
107	1610.220339
108	1609.011908
109	1606.809277
110	1605.405497
111	1604.760188
112	1603.981018
113	1603.027771
114	1601.663749
115	1600.606411
116	1598.784417
117	1597.903661
118	1597.104556
119	1595.477158
120	1595.035154
121	1593.749683
122	1592.196064
123	1591.228427
124	1590.31499
125	1588.32338
126	1587.800032
127	1586.651061
128	1585.21063
129	1584.359616
130	1583.374925
131	1582.68367
132	1581.488567
133	1580.932667
134	1579.400326
135	1578.01247
136	1577.479532
137	1576.972898
138	1576.284602
139	1575.364147
140	1574.644988
141	1574.212651
142	1572.566197
143	1571.639661
144	1570.844044
145	1570.151706
146	1569.46385
147	1568.898926
148	1567.701557
149	1567.025363
150	1566.197832
151	1565.725014
152	1565.378652
153	1564.622583
154	1563.191737
155	1562.341096
156	1561.577608
157	1561.033194
158	1559.420909
159	1558.265279
160	1557.27346
161	1556.776828
162	1556.371819
163	1555.540329
164	1554.786055
165	1554.048689
166	1553.762875
167	1553.129564
168	1552.868584
169	1552.071094
170	1551.285231
171	1550.60594
172	1550.425359
173	1549.544986
174	1548.855646
175	1548.133263
176	1547.158726
177	1546.389725
178	1545.850287
179	1544.97505
180	1544.226666
181	1543.475755
182	1542.131719
183	1541.635226
184	1540.820961
185	1539.8124
186	1538.880133
187	1538.195044
188	1537.444132
189	1536.033029
190	1535.65028
191	1534.816815
192	1533.94102
193	1533.202648
194	1532.804812
195	1531.625393
196	1531.168323
197	1530.654267
198	1529.953742
199	1529.356648
200	1528.998087
201	1528.57971
202	1528.101574
203	1527.66563
204	1527.1182
205	1526.34338
206	1525.93649
207	1525.663309
208	1524.909382
209	1524.058225
210	1523.721884
211	1522.899024
212	1521.793807
213	1521.245715
214	1520.706279
215	1519.986155
216	1519.429218
217	1518.50753
218	1518.053959
219	1517.519049
220	1516.757191
221	1516.543187
222	1516.139658
223	1515.548713
224	1515.261896
225	1514.641188
226	1514.352783
227	1514.072156
228	1513.680831
229	1513.149903
230	1512.251144
231	1511.708847
232	1510.962043
233	1510.404187
234	1509.81636
235	1508.968701
236	1508.648336
237	1508.240695
238	1507.704477
239	1506.824003
240	1506.047468
241	1505.515194
242	1505.128183
243	1504.783993
244	1504.123655
245	1503.530362
246	1502.600719
247	1502.178867
248	1501.530995
249	1501.046517
250	1500.514735
251	1500.148428
252	1499.705296
253	1499.152459
254	1498.551324
255	1497.737291
256	1497.356045
257	1496.174803
258	1495.158598
259	1494.961928
260	1494.180548
261	1493.666333
262	1493.173722
263	1492.793247
264	1492.399573
265	1491.882361
266	1491.735261
267	1491.160089
268	1490.151259
269	1489.60389
270	1489.29849
271	1488.413733
272	1488.28398
273	1487.61469
274	1487.209758
275	1486.755225
276	1486.311984
277	1486.015386
278	1485.707445
279	1485.193652
280	1484.615486
281	1484.249542
282	1483.859625
283	1483.048139
284	1482.604876
285	1482.091983
286	1481.466314
287	1481.171306
288	1481.078031
289	1480.22318
290	1479.231921
291	1478.85528
292	1478.532636
293	1478.250818
294	1477.839585
295	1477.163958
296	1476.756901
297	1476.128437
298	1475.665525
299	1475.273212
300	1474.989074
301	1474.701101
302	1474.272225
303	1473.955781
304	1473.252558
305	1473.029023
306	1472.638818
307	1472.1038
308	1471.524503
309	1471.335029
310	1471.138874
311	1470.931087
312	1470.335777
313	1470.01344
314	1469.725608
315	1469.498167
316	1468.995318
317	1468.464992
318	1468.05678
319	1467.804701
320	1467.525636
321	1467.066035
322	1466.777652
323	1466.117384
324	1465.959709
325	1465.771167
326	1465.355986
327	1464.876207
328	1464.455044
329	1464.326165
330	1463.979124
331	1463.632596
332	1463.319636
333	1462.747064
334	1462.497443
335	1461.846475
336	1461.59244
337	1461.349966
338	1461.071764
339	1460.605299
340	1459.873391
341	1459.042647
342	1458.507996
343	1458.059495
344	1457.872129
345	1457.472022
346	1457.094006
347	1456.852783
348	1456.574941
349	1456.075176
350	1455.935714
351	1455.181052
352	1455.015722
353	1454.611691
354	1454.413529
355	1454.132628
356	1453.96286
357	1453.705157
358	1453.440712
359	1453.189596
360	1452.564326
361	1451.992479
362	1451.681896
363	1451.39209
364	1450.947849
365	1450.680513
366	1450.494956
367	1450.054457
368	1449.517
369	1448.960108
370	1448.740316
371	1448.504887
372	1448.091621
373	1447.472945
374	1447.113033
375	1446.988154
376	1446.695626
377	1446.215481
378	1446.003761
379	1445.558207
380	1445.235765
381	1444.988799
382	1444.092588
383	1443.725406
384	1443.256318
385	1442.617039
386	1442.131412
387	1441.564635
388	1441.271011
389	1440.984255
390	1440.719474
391	1440.342687
392	1440.13554
393	1439.74234
394	1438.957479
395	1438.539092
396	1438.344132
397	1437.6133
398	1437.410492
399	1437.081293
400	1436.874891
401	1436.458514
402	1436.270764
403	1435.822524
404	1435.511321
405	1435.378715
406	1435.108305
407	1434.555967
408	1434.166575
409	1433.6545
410	1433.476045
411	1433.315055
412	1432.959449
413	1432.460378
414	1432.199892
415	1431.862115
416	1431.608256
417	1431.35019
418	1430.81006
419	1430.648545
420	1430.418903
421	1429.978843
422	1429.292962
423	1428.549283
424	1428.300231
425	1428.136047
426	1428.019722
427	1427.57022
428	1427.239376
429	1426.93681
430	1426.826841
431	1426.255122
432	1426.023189
433	1425.290519
434	1424.837279
435	1424.433734
436	1424.145781
437	1423.877353
438	1423.658854
439	1423.525897
440	1423.403387
441	1423.217785
442	1423.008258
443	1422.715735
444	1422.55608
445	1422.425537
446	1422.16974
447	1422.082922
448	1421.79279
449	1421.564947
450	1421.327714
451	1420.691155
452	1420.513329
453	1420.209398
454	1420.022988
455	1419.573652
456	1419.309097
457	1419.126331
458	1418.883303
459	1418.701492
460	1418.314903
461	1417.662459
462	1417.527411
463	1417.369796
464	1417.057141
465	1416.801025
466	1416.407428
467	1416.203067
468	1415.926918
469	1415.598961
470	1415.177026
471	1414.808038
472	1414.260557
473	1413.951537
474	1413.766565
475	1413.22056
