Модель,RMSE (CV),RMSE (Test),MAE (Test),R2 (Test),Время (сек)
LinearRegression,2892.611,2858.861,2004.157,0.613,2.14
CatBoost,1623.691,1606.375,1002.014,0.878,376.1
XGBoost,1619.627,1594.455,980.372,0.88,38.07
LightGBM,1619.913,1601.488,1008.224,0.879,7638.6
